Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2020,4,Corrientes,125656.0,3.0,125659.0
2020,4,Entre Ríos,247368.0,13.0,247381.0
2020,4,Formosa,50206.0,0.0,50206.0
2020,4,Jujuy,105851.0,0.0,105851.0
2020,4,La Pampa,96779.0,116.0,96895.0
2020,4,La Rioja,52775.0,3.0,52778.0
2020,4,Mendoza,214838.0,615.0,215453.0
2020,4,Misiones,147161.0,0.0,147161.0
2020,4,Neuquén,132762.0,373.0,133135.0
2020,4,Río Negro,140709.0,501.0,141210.0
2020,4,Salta,187388.0,2.0,187390.0
2020,4,San Juan,72340.0,256.0,72596.0
2020,4,San Luis,119287.0,148.0,119435.0
2020,4,Santa Cruz,40477.0,197.0,40674.0
2020,4,Santa Fe,820676.0,137.0,820813.0
2020,4,Santiago Del Estero,106668.0,1.0,106669.0
2020,4,Tierra Del Fuego,39325.0,289.0,39614.0
2020,4,Tucumán,231067.0,22.0,231089.0
2020,3,Buenos Aires,3932211.0,5.066,3937277.0
2020,3,Capital Federal,1371285.0,1.39,1372675.0
2020,3,Catamarca,49903.0,1.0,49904.0
2020,3,Chaco,133951.0,3.0,133954.0
2020,3,Chubut,129202.0,825.0,130027.0
2020,3,Córdoba,867417.0,55.0,867472.0
2020,3,Corrientes,123388.0,3.0,123391.0
2020,3,Entre Ríos,241482.0,13.0,241495.0
2020,3,Formosa,49209.0,0.0,49209.0
2020,3,Jujuy,106728.0,0.0,106728.0
2020,3,La Pampa,93619.0,116.0,93735.0
2020,3,La Rioja,52613.0,3.0,52616.0
2020,3,Mendoza,207173.0,615.0,207788.0
2020,3,Misiones,143186.0,0.0,143186.0
2020,3,Neuquén,128862.0,373.0,129235.0
2020,3,Río Negro,130966.0,501.0,131467.0
2020,3,Salta,180844.0,2.0,180846.0
2020,3,San Juan,77071.0,256.0,77327.0
2020,3,San Luis,116417.0,148.0,116565.0
2020,3,Santa Cruz,39084.0,197.0,39281.0
2020,3,Santa Fe,802861.0,137.0,802998.0
2020,3,Santiago Del Estero,105491.0,1.0,105492.0
2020,3,Tierra Del Fuego,39366.0,289.0,39655.0
2020,3,Tucumán,223854.0,22.0,223876.0
2020,2,Buenos Aires,3772480.0,5.066,3777546.0
2020,2,Capital Federal,1356431.0,1.39,1357821.0
2020,2,Catamarca,47975.0,1.0,47976.0
2020,2,Chaco,128129.0,3.0,128132.0
2020,2,Chubut,107831.0,825.0,108656.0
2020,2,Córdoba,836413.0,55.0,836468.0
2020,2,Corrientes,118863.0,3.0,118866.0
2020,2,Entre Ríos,234100.0,13.0,234113.0
2020,2,Formosa,47932.0,0.0,47932.0
2020,2,Jujuy,94316.0,0.0,94316.0
2020,2,La Pampa,89693.0,116.0,89809.0
2020,2,La Rioja,52152.0,3.0,52155.0
2020,2,Mendoza,200569.0,615.0,201184.0
2020,2,Misiones,140340.0,0.0,140340.0
2020,2,Neuquén,125799.0,373.0,126172.0
2020,2,Río Negro,128985.0,501.0,129486.0
2020,2,Salta,177760.0,2.0,177762.0
